ImageID,movieID,photoPath
1,1,images\Ghosted.jpg
2,2,images\65.jpg
3,3,images\Shazam.jpg
4,4,images\wonka.jpg
5,5,images\me3an.jpg
6,6,images\ScreamVI.jpg
7,7,images\Close2022.jpg
8,8,images\BeforeSunset.jpg
9,9,images\melancholia.jpg
10,10,images\thesilence.jpg
11,11,images\bladerunner.jpg
12,12,images\se7en.jpg
13,13,images\paprika2006.jpg
14,14,images\aftersun2022.jpg
15,15,images\fearandloathing.jpg
16,16,images\oldboy.jpg
17,17,images\crouchingtiger.jpg
18,18,images\basicinstinct.jpg
19,19,images\crash1996.jpg
20,20,images\lahaine.jpg
21,21,images\tunnel2016.jpg
22,22,images\inside2023.jpg
23,23,images\pastlives2023.jpg
24,24,images\confession2015.jpg
