MovieID,MovieName,Description,Year
1,Ghosted,To be explored,2023-04-21
2,65,An astronaut crash lands on a mysterious planet only to discover he's not alone.,2023-03-10
3,Shazam! Fury of the Gods,"The film continues the story of teenage Billy Batson who, upon reciting the magic word ""SHAZAM!"" is transformed into his adult Super Hero alter ego, Shazam.",2023-03-17
4,Wonka,To be explored,2023-12-15
5,M3GAN,A robotics engineer at a toy company builds a life-like doll that begins to take on a life of its own.,2023-01-06
6,Scream VI,"In the next installment, the survivors of the Ghostface killings leave Woodsboro behind and start a fresh chapter in New York City.",2023-03-08
7,Close,"The intense friendship between two thirteen-year old boys Leo and Remi suddenly gets disrupted. Struggling to understand what has happened, Léo approaches Sophie, Rémi's mother. ""Close"" is a film about friendship and responsibility.",2023-03-03
8,Before Sunset,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.",1995-04-20
9,Melancholia,Two sisters find their already strained relationship challenged as a mysterious new planet threatens to collide with Earth.,2021-11-10
10,The Silence of the Lambs,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",1991-05-31
11,Blade Runner,A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator.,1982-09-09
12,Se7en,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",1995-09-22
13,Paprika,"When a machine that allows therapists to enter their patients' dreams is stolen, all hell breaks loose. Only a young female therapist, Paprika, can stop it.",2006-11-25
14,Aftersun II,Sophie reflects on the shared joy and private melancholy of a holiday she took with her father twenty years earlier. Memories real and imagined fill the gaps between as she tries to reconcile the father she knew with the man she didn't...,2022-11-18
15,Fear and Loathing in Las Vegas,An oddball journalist and his psychopathic lawyer travel to Las Vegas for a series of psychedelic escapades.,1998-11-13
16,Oldboy,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.",2004-10-15
17,"Crouching Tiger, Hidden Dragon",A young Chinese warrior steals a sword from a famed swordsman and then escapes into a world of romantic adventure with a mysterious man in the frontier of the nation.,2001-01-05
18,Basic Instinct,A violent police detective investigates a brutal murder that might involve a manipulative and seductive novelist.,1992-05-08
19,Crash,"After getting into a serious car accident, a TV director discovers an underground sub-culture of scarred, omnisexual car-crash victims who use car accidents and the raw sexual energy they produce to try to rejuvenate his sex life with his wife.",2005-08-12
20,La haine,24 hours in the lives of three young men in the French suburbs the day after a violent riot.,1995-11-17
21,Tunnel,"A man is on his way home when the poorly constructed tunnel he is driving through collapses, leaving him trapped.",2016-09-02
22,Inside,"Nemo, a high-end art thief, is trapped in a New York penthouse after his heist doesn't go as planned. Locked inside with nothing but priceless works of art, he must use all his cunning and ingenuity to survive.",2023-03-16
23,Past Lives,"Nora and Hae Sung, two deeply connected childhood friends, are wrest apart after Nora's family emigrates from South Korea. 20 years later, they are reunited for one fateful week as they confront notions of love and destiny.",2023-09-08
24,Confession,A man who suffers from amnesia caused by a terrible car accident suspects that his wife tells him not the truth about his true personality.,2015-08-20
